acl	2.3.1-3
fonts-dejavu-extra	2.37-6
fonts-deva	2:1.4
fonts-deva-extra	3.0-6
fonts-droid-fallback	1:6.0.1r16-1.1
fonts-dzongkha	0.3-9
fonts-farsiweb	0.4.dfsg-13
fonts-freefont-ttf	20120503-10
fonts-gargi	2.0-6
fonts-gujr	2:1.5
fonts-gujr-extra	1.0.1-1
fonts-guru	2:1.3
fonts-guru-extra	2.0-5
fonts-hosny-amiri	0.113-1
fonts-hosny-thabit	0.02-2.1
fonts-ipafont	00303-23
fonts-ipafont-gothic	00303-23
fonts-ipafont-mincho	00303-23
fonts-kacst	2.01+mry-15
fonts-kacst-one	5.0+svn11846-10
fonts-kalapi	1.0-5
fonts-khmeros	5.0-9
fonts-lato	2.0-2.1
fonts-liberation	1:1.07.4-11
fonts-liberation2	2.1.5-1
fonts-lohit-beng-assamese	2.91.5-2
fonts-lohit-beng-bengali	2.91.5-3
fonts-lohit-deva	2.95.4-5
fonts-lohit-gujr	2.92.4-4
fonts-lohit-guru	2.91.2-3
fonts-lohit-knda	2.5.4-3
fonts-lohit-mlym	2.92.2-2
fonts-lohit-taml	2.91.3-2
fonts-lohit-taml-classical	2.5.4-2
fonts-lohit-telu	2.5.5-2
fonts-mlym	2:1.3
fonts-nakula	1.0-4
fonts-nanum	20200506-1
fonts-noto	20201225-1
fonts-noto-cjk	1:20220127+repack1-1
fonts-noto-cjk-extra	1:20220127+repack1-1
fonts-noto-color-emoji	2.042-0+deb12u1
fonts-noto-core	20201225-1
fonts-noto-extra	20201225-1
fonts-noto-mono	20201225-1
fonts-noto-ui-core	20201225-1
fonts-noto-ui-extra	20201225-1
fonts-noto-unhinted	20201225-1
fonts-opensymbol	4:102.12+LibO7.4.7-1+deb12u7
fonts-quicksand	0.2016-2.1
fonts-sahadeva	1.0-5
fonts-samyak-deva	1.2.2-6
fonts-samyak-gujr	1.2.2-6
fonts-samyak-mlym	1.2.2-6
fonts-samyak-taml	1.2.2-6
fonts-sarai	1.0-3
fonts-sil-abyssinica	2.100-3
fonts-sil-andika	6.101-2
fonts-sil-annapurna	1.204-2
fonts-sil-scheherazade	2.100-2.1
fonts-smc	1:7.5
fonts-smc-anjalioldlipi	7.1.2-2
fonts-smc-chilanka	1.540-2
fonts-smc-dyuthi	3.0.2-2
fonts-smc-gayathri	1.200-1
fonts-smc-karumbi	1.1.2-2
fonts-smc-keraleeyam	3.0.2-2
fonts-smc-manjari	2.000-4
fonts-smc-meera	7.0.3-1
fonts-smc-rachana	7.0.2-1
fonts-smc-raghumalayalamsans	2.2.1-1
fonts-smc-suruma	3.2.3-1
fonts-smc-uroob	2.0.2-1
fonts-symbola	2.60-1.1
fonts-taml	2:1.4
fonts-telu	2:1.3
fonts-telu-extra	2.0-5
fonts-teluguvijayam	2.1-1
fonts-thai-tlwg	1:0.7.3-1
fonts-tlwg-garuda	1:0.7.3-1
fonts-tlwg-garuda-ttf	1:0.7.3-1
fonts-tlwg-kinnari	1:0.7.3-1
fonts-tlwg-kinnari-ttf	1:0.7.3-1
fonts-tlwg-laksaman	1:0.7.3-1
fonts-tlwg-laksaman-ttf	1:0.7.3-1
fonts-tlwg-loma	1:0.7.3-1
fonts-tlwg-loma-ttf	1:0.7.3-1
fonts-tlwg-mono	1:0.7.3-1
fonts-tlwg-mono-ttf	1:0.7.3-1
fonts-tlwg-norasi	1:0.7.3-1
fonts-tlwg-norasi-ttf	1:0.7.3-1
fonts-tlwg-purisa	1:0.7.3-1
fonts-tlwg-purisa-ttf	1:0.7.3-1
